,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id ,RT,Hashtag,Clean Tweets,Subjectivity Score,Polarity Score,Analysis
1253,RT @Christi64914989: Liverpool are on the verge of calling a vote of no confidence in Starmer,veronic91276084,veronica harrison💙#nhspay15#Istand With Ken Loach,"Manchester, England",5027,5529,5,55775,2021-03-03 23:20:31,1367253586405707776,Retweet,False, Liverpool are on the verge of calling a vote of no confidence in Starmer,0.0,0.0,Neutral
1254,@Ifcerik @mufcjxyy Ye true and I’m pretty sure you Liverpool fans are more tired and annoyed at your performances l… https://t.co/1NyKiKiKOl,aerererty,🇮🇪🇮🇪🇮🇪,Emirates Dance Floor,536,1476,1,2810,2021-03-03 23:20:29,1367253573940244482,Tweet,False,  Ye true and I’m pretty sure you Liverpool fans are more tired and annoyed at your performances l… ,0.7564814814814814,0.13333333333333336,Positive
1255,"RT @SkySportsPL: 🗣️ ""Chelsea and Liverpool will be watching that thinking they have a real chance""

@GNev2 fears Manchester United may be s…",1ntsss,1ntsss,"Birmingham, England",491,431,0,86848,2021-03-03 23:20:25,1367253558274510848,Retweet,False," 🗣️ ""Chelsea and Liverpool will be watching that thinking they have a real chance""

 fears Manchester United may be s…",0.30000000000000004,0.2,Positive
1256,"RT @Watch_LFC: A win for Liverpool tomorrow will put them back into 4th place on 46 points. 

4 points off third, 5 points off second.

Mas…",zvPiNGvz,'PiNG',"Liverpool, England",34,307,0,16970,2021-03-03 23:20:22,1367253545188220928,Retweet,False," A win for Liverpool tomorrow will put them back into 4th place on 46 points. 

4 points off third, 5 points off second.

Mas…",0.1,0.2,Positive
1257,"RT @Joanne4Mayor: Liverpool needs a strong leader who will fight the Tories &amp; stand up for our city. As Mayor, I’ll ensure our communities…",cdobbolpool,Craig Dobbin,"Liverpool, England",643,734,9,5761,2021-03-03 23:20:19,1367253535352631311,Retweet,False," Liverpool needs a strong leader who will fight the Tories &amp; stand up for our city. As Mayor, I’ll ensure our communities…",0.7333333333333333,0.4333333333333333,Positive
1258,"RT @ConnCFC: Chelsea 4-4 Liverpool was the most entertaining Champions League game at Stamford Bridge 

Unreal night.. https://t.co/UTbSbWA…",kacy_okafor,SIR KAYCEE,Nigeria,990,959,3,19625,2021-03-03 23:20:19,1367253535344254976,Retweet,False," Chelsea 4-4 Liverpool was the most entertaining Champions League game at Stamford Bridge 

Unreal night.. ",0.5333333333333333,0.19999999999999998,Positive
1259,"RT @ryanw2345: City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",Bazingarock,19*,"In galaxy far, far away ",102,820,0,10590,2021-03-03 23:20:19,1367253534140370944,Retweet,False," City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",0.3,1.0,Positive
1260,@andy_providence @Arrizabalager Cheers man. I’m a Chelsea fan but don’t get carried away. If we don’t start scoring… https://t.co/sarF5XJbOT,DanielAnthonyBr,Daniel Anthony Britt,"Hibalstow, Brigg",27,514,1,1103,2021-03-03 23:20:17,1367253527605706753,Tweet,False,  Cheers man. I’m a Chelsea fan but don’t get carried away. If we don’t start scoring… ,0.0,0.0,Neutral
1261,@bilborfc1 I think it’s too early for him to go to Liverpool. As you say he could have some fantastic years here fi… https://t.co/9EgsuOydBL,Gard72G,Smithers Jones,"Glasgow, United Kingdom",229,329,0,702,2021-03-03 23:20:16,1367253520173461510,Tweet,False, I think it’s too early for him to go to Liverpool. As you say he could have some fantastic years here fi… ,0.6,0.25,Positive
1262,"RT @SkySportsPL: 🗣️ ""Chelsea and Liverpool will be watching that thinking they have a real chance""

@GNev2 fears Manchester United may be s…",karanmufc87,Karan Patel,,285,2545,1,41304,2021-03-03 23:20:14,1367253511008829447,Retweet,False," 🗣️ ""Chelsea and Liverpool will be watching that thinking they have a real chance""

 fears Manchester United may be s…",0.30000000000000004,0.2,Positive
1263,"RT @LFC: 📍 Life at Liverpool 
🗣 Tips from @VirgilvDijk 
👊 Working with Jürgen Klopp 
⚽️ #LIVCHE preview",Murphydahnear,LALA🤑,Nigeria,3439,2643,10,2640,2021-03-03 23:20:12,1367253506126721024,Retweet,True," 📍 Life at Liverpool 
🗣 Tips from  
👊 Working with Jürgen Klopp 
⚽️ LIVCHE preview",0.0,0.0,Neutral
1264,"RT @Sonnyy_7: @MikeLUHGhth7 Ole vs Big 6:

1-6 v Tottenham
0-0 v Chelsea
0-1 v Arsenal
0-0 v Man City
0-0 v Liverpool
0-0 v Arsenal
0-0 v C…",OdunayoTaro_,MASK ON🦹🏿‍♂️,,850,807,0,19038,2021-03-03 23:20:11,1367253500174942212,Retweet,False,"  Ole vs Big 6

1-6 v Tottenham
0-0 v Chelsea
0-1 v Arsenal
0-0 v Man City
0-0 v Liverpool
0-0 v Arsenal
0-0 v C…",0.1,0.0,Neutral
1265,"RT @LivEchonews: Our special tribute front cover to King Kenny Dalglish who turns 70 on Thursday 🥳

Happy Birthday to Liverpool's greatest…",GJFlaherty,Gregory Flaherty,"Philadelphia, PA USA",1693,2165,5,38490,2021-03-03 23:20:11,1367253500170817536,Retweet,False," Our special tribute front cover to King Kenny Dalglish who turns 70 on Thursday 🥳

Happy Birthday to Liverpool's greatest…",0.7857142857142857,0.5785714285714286,Positive
1266,Man Utd getting Varane will 'end Liverpool's hopes of beating Real to Mbappe' https://t.co/2QiGgeXtKE,SunSport,Sun Sport,London,192354,354,1110,20,2021-03-03 23:20:11,1367253499428409346,Tweet,False,Man Utd getting Varane will 'end Liverpool's hopes of beating Real to Mbappe' ,0.30000000000000004,0.2,Positive
1267,"RT @Watch_LFC: Liverpool will not release Jota, Firmino, Fabinho and Alisson for the next international break. Some of the African players…",Mckev9,Kevin Umanzor,,418,830,1,19955,2021-03-03 23:20:10,1367253497004003330,Retweet,False," Liverpool will not release Jota, Firmino, Fabinho and Alisson for the next international break. Some of the African players…",0.0,0.0,Neutral
1268,@TotallyMUFC Be realistic ffs we aren't signing any one of them from City or Liverpool add Ten Hag or Naggelsman imo,ThePepperlsHere,Rashførd Senior,UK,1184,1016,3,9677,2021-03-03 23:20:08,1367253486077763585,Tweet,False, Be realistic ffs we aren't signing any one of them from City or Liverpool add Ten Hag or Naggelsman imo,0.16666666666666666,0.08333333333333333,Positive
1269,"@Tactical_Times Benteke -&gt; Liverpool 

Just never suited the style...",Tom36639369,Tom,,0,97,0,70,2021-03-03 23:20:06,1367253479664803843,Tweet,False," Benteke -&gt; Liverpool 

Just never suited the style...",0.0,0.0,Neutral
1270,RT @charlie16evans: Liverpool haven't won a Goodison derby for 4 years 👀,RyanWaz1,Ryan Walker,,486,603,1,9883,2021-03-03 23:20:02,1367253462031998980,Retweet,False, Liverpool haven't won a Goodison derby for 4 years 👀,0.0,0.0,Neutral
1271,"RT @badwool9: “Lads, listen”

“What is it?”

“Sssshhh”

“It’s Deacon Blue, Dignity”

“Where are these from? It’s a killer”

“Liverpool, Eng…",alfiegildea,Alfie,"Warrington, England",177,588,0,4420,2021-03-03 23:20:02,1367253461679677441,Retweet,False," “Lads, listen”

“What is it?”

“Sssshhh”

“It’s Deacon Blue, Dignity”

“Where are these from? It’s a killer”

“Liverpool, Eng…",0.1,0.0,Neutral
1272,RT @fcDavee: Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33),nomsononi,Ever Banega,On road,528,484,3,4280,2021-03-03 23:20:02,1367253460765339653,Retweet,False, Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33),0.4861111111111111,0.25,Positive
1273,"RT @BambusaJamaica: If you can only pick ONE... 🌿❤️🤗⚽⚽⚽

#Bambusa #WoodCoasters #Liverpool #Arsenal #ManchesterUnited #Chelsea https://t.co…",ShanniBudd,Shanni,,489,197,11,21158,2021-03-03 23:19:58,1367253444650754061,Retweet,True," If you can only pick ONE... 🌿❤️🤗⚽⚽⚽

Bambusa WoodCoasters Liverpool Arsenal ManchesterUnited Chelsea ",1.0,0.0,Neutral
1274,You best believe it’s a Liverpool win when Stevie lifts the Scottish prem 😂,taz_lfc,𝕥    𝕒    𝕫,United Kingdom,114,67,0,1907,2021-03-03 23:19:53,1367253423268253696,Tweet,False,You best believe it’s a Liverpool win when Stevie lifts the Scottish prem 😂,0.35,0.9,Positive
1275,@Tactical_Times Benteke x Liverpool,hirshad_,Haroon,"Birmingham, England",1699,1701,5,35031,2021-03-03 23:19:51,1367253417152962563,Tweet,False, Benteke x Liverpool,0.0,0.0,Neutral
1276,RT @legendarthur_: tomorrow Liverpool and Chelsea both teams will lose and we go jam with sore remix ☄️,iam_justin6,Bright Justin,Dansoman,178,968,0,3252,2021-03-03 23:19:51,1367253415395491841,Retweet,False,_ tomorrow Liverpool and Chelsea both teams will lose and we go jam with sore remix ☄️,0.0,0.0,Neutral
1277,@zuzanafights I'd have been a fan but unfortunately Liverpool are now to dead to me 😭 I'll return to fandom when St… https://t.co/HnarzXpfIx,Europe_MMA,GaryF 🇪🇺,Glasgow,909,434,9,16980,2021-03-03 23:19:50,1367253412207804419,Tweet,False, I'd have been a fan but unfortunately Liverpool are now to dead to me 😭 I'll return to fandom when St… ,0.7,-0.35,Negative
1278,"RT @JakeBerry: An Infrastructure Bank in #Leeds. A #TreasuryNorth in Darlington. Freeports for Liverpool, Teesside, Humber and the West Mid…",lemonwhisper,Lucy W,,640,808,0,26430,2021-03-03 23:19:50,1367253411071225860,Retweet,True," An Infrastructure Bank in Leeds. A TreasuryNorth in Darlington. Freeports for Liverpool, Teesside, Humber and the West Mid…",0.0,0.0,Neutral
1279,If you want to see the most ridiculous dive of the season have a look at this. Swansea are the Liverpool of the cha… https://t.co/LmgKwmt1sM,Nathan33NDJ,Nathan,,201,225,1,34625,2021-03-03 23:19:46,1367253394671427585,Tweet,False,If you want to see the most ridiculous dive of the season have a look at this. Swansea are the Liverpool of the cha… ,0.75,0.08333333333333334,Positive
1280,Liverpool Biennial 2021: Five female artists to watch out for https://t.co/2t1mzG4ai6,BazaarUK,BazaarUK,London,515073,812,3107,517,2021-03-03 23:19:44,1367253388967215104,Tweet,False,Liverpool Biennial 2021 Five female artists to watch out for ,0.16666666666666666,0.0,Neutral
1281,@Popejasper1 @Ofodile89 @frankedoho I'm 2nd in PL bro... you're nowhere to be found...just win Liverpool tomorrow t… https://t.co/LPrJFC5iiy,IamGodson10,Kalabari Boy🔥,AROUND,89,301,0,839,2021-03-03 23:19:38,1367253361591013377,Tweet,False,   I'm 2nd in PL bro... you're nowhere to be found...just win Liverpool tomorrow t… ,0.2,0.4,Positive
1282,"@poynej62 As a Liverpool fan, I cannot agree with this but in the spirit of cooperation I hope it's a good game and we just about win 🤣🤣",mattgwynlloyd,Matt Gwyn Lloyd,"Cardiff, Wales",4136,4992,65,18557,2021-03-03 23:19:36,1367253353034563585,Tweet,False," As a Liverpool fan, I cannot agree with this but in the spirit of cooperation I hope it's a good game and we just about win 🤣🤣",0.4666666666666666,0.3666666666666667,Positive
1283,"So Liverpool with buses and trams.
Why did we lose the trams.
Just don’t get it. 
In my job I travel all over the N… https://t.co/Rqme4KFpeG",profiteller,IAN HARTLEY,"North West, England",133,626,0,1802,2021-03-03 23:19:34,1367253343916195840,Tweet,False,"So Liverpool with buses and trams.
Why did we lose the trams.
Just don’t get it. 
In my job I travel all over the N… ",0.0,0.0,Neutral
1284,"RT @JRCooper26: Only five teams (Liverpool, Man City, Leicester x2, Burnley and Newcastle) have won their Premier League match directly aft…",phill_law,Top Cat Cooper,,275,1233,1,3299,2021-03-03 23:19:28,1367253321724100610,Retweet,False," Only five teams (Liverpool, Man City, Leicester x2, Burnley and Newcastle) have won their Premier League match directly aft…",0.7,0.05,Positive
1285,@NanceBaker @miedemamadness She was on loan from chelsea when she was at Liverpool,dhhell,Kim Leonard,oxfordshire,277,1161,14,77926,2021-03-03 23:19:27,1367253317852815363,Tweet,False,  She was on loan from chelsea when she was at Liverpool,0.0,0.0,Neutral
1286,"RT @LFC: 📍 Life at Liverpool 
🗣 Tips from @VirgilvDijk 
👊 Working with Jürgen Klopp 
⚽️ #LIVCHE preview",dhiahariz,dhiod,,1279,1149,1,117335,2021-03-03 23:19:27,1367253317554900992,Retweet,True," 📍 Life at Liverpool 
🗣 Tips from  
👊 Working with Jürgen Klopp 
⚽️ LIVCHE preview",0.0,0.0,Neutral
1287,"RT @mubaraksumar02: 1. Whatsapp killed SMS
2. DStv killed DVD  
3. Keke napep killed taxi 
4. Iphone/Android killed Blackberry 
5. Xender k…",muhammadrg2628,j.u.s.t_m.o.h.r💦,anywhere,377,272,0,2635,2021-03-03 23:19:18,1367253277511933955,Retweet,False," 1. Whatsapp killed SMS
2. DStv killed DVD  
3. Keke napep killed taxi 
4. Iphone/Android killed Blackberry 
5. Xender k…",0.0,-0.2,Negative
1288,"RT @ryanw2345: City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",dhiahariz,dhiod,,1279,1149,1,117335,2021-03-03 23:19:15,1367253267579772929,Retweet,False," City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",0.3,1.0,Positive
1289,@ColbyGreenwood5 😂😂😂hearing ya mate few train stops between Australia and Liverpool!!!👍,brotherzzzzz,CharBro,Melbourne west Australia ,1527,1981,0,36224,2021-03-03 23:19:14,1367253262043254784,Tweet,False, 😂😂😂hearing ya mate few train stops between Australia and Liverpool!!!👍,0.1,-0.2,Negative
